time_sec,Instrument_0_Bass,Instrument_1_Grand Piano,Instrument_2_909 Drum Kit,Instrument_3_Smooth Synth (Classic),Instrument_4_Electric Drum Kit,Instrument_5_Violin,Instrument_6_8-Bit Sawtooth,Instrument_7_Strings,Instrument_8_Violin (Classic),Instrument_9_Trombone (Classic)
72.30333825,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
72.47187749999999,,77 89,,39 39,,63 75 87 87,39 51 63,,77 89,65
72.64041674999999,,77 89,,39 39,,63 75 87 87,39 51 63,,77 89,65
72.808956,,77 89,,,,,,,77 89,65
73.14603449999998,,75 87,,,,,,,75 87,63
73.48311299999999,,75 87,,,,,,,75 87,63
73.82019149999999,,75 87,,,,,,,75 87,63
74.15727,,75 87,,,,,,,75 87,63
74.83142699999999,,80 92,,32,,,,,80 92,68
74.99996624999999,,80 92,,32,,,,,80 92,68
75.1685055,,79 91,,32,,,,,79 91,67
75.33704474999999,,79 91,,32,,,,,79 91,67
75.50558399999998,,79 91,35 35 36,36 36,,,36 48,48 60 72 84,79 91,67
75.67412325,,79 91,,36 36,,,36 48,48 60 72 84,79 91,67
75.84266249999999,,79 91,,36 36,,,36 48,48 60 72 84,79 91,67
76.01120175,,79 91,,36 36,,,36 48,48 60 72 84,79 91,67
76.17974099999999,,75 87,38 38 38,36 36,,,36 48,48 60 72 84,75 87,63
76.34828024999999,,75 87,,36 36,,,36 48,48 60 72 84,75 87,63
76.5168195,,75 87,,36 36,,,36 48,48 60 72 84,75 87,63
76.68535874999999,,75 87,35 35 36,36 36,,,36 48,48 60 72 84,75 87,63
76.85389799999999,,75 87,,36 36,,,36 48,48 60 72 84,75 87,63
77.02243725,,75 87,35 35 36,36 36,,,36 48,48 60 72 84,75 87,63
77.19097649999999,,75 87,35 35 36,36 36,,,36 48,48 60 72 84,75 87,63
77.35951574999999,,75 87,,36 36,,,36 48,48 60 72 84,75 87,63
77.528055,,80 92,38 38 38,36 36,,,36 48,48 60 72 84,80 92,68
77.69659424999999,,80 92,,36 36,,,36 48,48 60 72 84,80 92,68
77.86513349999998,,79 91,,36 36,,,36 48,48 60 72 84,79 91,67
78.03367275,,79 91,,36 36,,,36 48,48 60 72 84,79 91,67
78.20221199999999,,79 91,35 35 36,32 32,,,32 44,44 56 68 80,79 91,67
78.37075125,,79 91,,32 32,,,32 44,44 56 68 80,79 91,67
78.53929049999999,,79 91,,32 32,,,32 44,44 56 68 80,79 91,67
78.70782974999999,,79 91,,32 32,,,32 44,44 56 68 80,79 91,67
78.876369,,,38 38 38,32 32,,,32 44,44 56 68 80,,
79.04490824999999,,,,32 32,,,32 44,44 56 68 80,,
79.21344749999999,,,,32 32,,,32 44,44 56 68 80,,
79.38198675,,,35 35 36,32 32,,,32 44,44 56 68 80,,
79.55052599999999,,75 87,,32 32,,,32 44,44 56 68 80,75 87,63
79.71906524999999,,75 87,35 35 36,32 32,,,32 44,44 56 68 80,75 87,63
79.8876045,,75 87,35 35 36,32 32,,,32 44,44 56 68 80,75 87,63
80.05614374999999,,75 87,,32 32,,,32 44,44 56 68 80,75 87,63
80.22468299999998,,74 86,38 38 38,32 32,,,32 44,44 56 68 80,74 86,62
80.39322225,,74 86,,32 32,,,32 44,44 56 68 80,74 86,62
80.56176149999999,,75 87,,32 32,,,32 44,44 56 68 80,75 87,63
80.73030075,,75 87,,32 32,,,32 44,44 56 68 80,75 87,63
80.89883999999999,,75 87,35 35 36,27 27,,,27 39,39 51 63 75,75 87,63
81.06737924999999,,75 87,,27 27,,,27 39,39 51 63 75,75 87,63
81.2359185,,,,27 27,,,27 39,39 51 63 75,,
81.40445774999999,,,,27 27,,,27 39,39 51 63 75,,
81.57299699999999,,,38 38 38,27 27,,,27 39,39 51 63 75,,
81.74153625,,,,27 27,,,27 39,39 51 63 75,,
81.91007549999999,,,,27 27,,,27 39,39 51 63 75,,
82.07861474999999,,,35 35 36,27 27,,,27 39,39 51 63 75,,
82.247154,,75 87,,27 27,,,27 39,39 51 63 75,75 87,63
82.41569324999999,,75 87,35 35 36,27 27,,,27 39,39 51 63 75,75 87,63
82.58423249999998,,75 87,35 35 36,27 27,,,27 39,39 51 63 75,75 87,63
82.75277175,,75 87,,27 27,,,27 39,39 51 63 75,75 87,63
82.92131099999999,,74 86,38 38 38,27 27,,,27 39,39 51 63 75,74 86,62
